"Accident_Severity","Number_of_Vehicles","Number_of_Casualties","X1st_Road_Class","Road_Type","Light_Conditions","Weather_Conditions","Road_Surface_Conditions"
3,1,1,4,6,1,1,1
2,0,0,3,6,1,1,1
3,0,0,3,6,0,1,1
3,1,0,6,6,1,1,1
3,1,0,4,2,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,6,2,1,1,1
3,1,1,3,3,0,0,0
3,1,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,0
2,0,0,3,3,1,1,1
3,0,0,5,6,0,0,0
2,1,0,3,6,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,1,1,1
2,0,0,3,6,1,1,0
2,1,0,3,6,1,1,1
2,1,0,6,6,1,1,1
3,1,0,3,6,0,1,1
3,0,0,3,6,1,1,1
3,0,0,3,6,0,1,1
3,0,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,0,0
3,0,0,3,6,1,1,1
3,0,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,5,6,1,1,1
3,1,0,6,6,1,1,1
2,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
2,0,1,3,6,1,1,1
3,1,1,3,6,1,1,1
2,0,1,3,2,1,1,1
3,0,0,4,6,1,1,1
3,1,1,6,6,0,1,1
3,0,0,3,3,1,1,1
3,1,0,3,6,1,1,1
2,1,0,3,3,1,1,1
3,1,0,3,6,1,1,1
3,0,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,5,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,0,0,3,6,1,1,1
3,0,0,5,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,1,4,6,1,0,0
3,0,0,5,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,5,6,1,1,1
3,0,0,5,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,3,1,1,0
2,1,0,3,6,1,1,1
3,1,0,3,6,1,0,0
3,0,0,3,2,1,1,1
3,0,0,3,2,1,1,0
3,1,0,3,3,1,1,1
2,0,1,3,6,1,1,1
2,1,0,5,6,1,1,1
3,0,0,3,6,0,1,1
3,1,0,5,1,1,1,1
3,1,0,4,6,1,1,1
3,0,0,3,6,0,0,0
3,1,0,3,6,1,0,0
3,1,0,3,6,1,1,1
3,0,0,3,6,0,1,1
3,0,0,3,2,0,0,0
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,0
3,0,0,3,6,1,0,0
3,1,0,3,6,1,1,1
3,1,0,3,3,0,1,0
3,1,1,5,6,1,1,1
3,1,0,6,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,6,6,1,1,0
3,0,0,3,6,1,1,1
2,1,0,3,6,0,1,1
3,0,0,3,6,1,1,1
3,1,1,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,1,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,0,0
2,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,1,3,6,0,1,1
3,0,0,6,6,1,1,0
3,0,0,3,6,1,1,1
3,1,0,3,6,0,1,1
3,1,1,3,6,1,1,1
3,0,0,3,2,1,1,1
3,1,1,5,6,1,1,1
3,1,0,4,3,0,1,1
3,1,0,3,1,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,0,1,1
2,1,0,5,6,1,1,1
3,1,0,3,6,1,0,1
3,1,0,3,6,1,1,1
3,1,1,3,6,0,1,1
3,1,0,4,6,1,1,1
3,0,1,3,6,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,1,5,6,0,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,1,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,3,1,1,1
3,1,0,3,6,0,1,1
3,1,0,4,6,1,1,1
3,1,0,6,3,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,5,6,1,1,1
3,1,0,3,6,0,0,0
3,1,0,3,6,1,1,1
3,1,1,3,3,1,1,1
3,0,0,3,6,0,1,1
3,0,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,3,1,0,1
3,1,0,3,6,1,1,1
3,0,0,3,6,1,0,0
3,1,0,3,6,1,1,1
3,1,0,5,6,1,1,1
3,1,0,6,6,1,1,1
3,1,0,3,6,1,0,0
3,1,0,4,6,1,1,1
3,1,1,3,3,0,1,1
3,1,0,3,6,0,1,0
3,1,0,6,6,1,1,1
3,1,0,3,6,0,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,6,6,1,1,1
2,0,0,3,6,1,1,1
3,1,0,5,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,6,6,0,1,1
3,0,1,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
2,0,0,3,6,1,1,1
3,1,0,3,3,0,1,1
3,1,0,5,6,0,1,0
3,1,0,6,6,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,0,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,0,0
3,0,0,3,3,1,1,1
3,1,0,3,6,1,0,0
3,1,0,3,6,1,1,1
3,1,0,5,6,1,1,1
3,0,1,3,6,1,1,1
3,1,0,5,6,0,0,1
3,1,0,3,3,0,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,1,1,0
3,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,0,0
3,1,1,3,6,0,0,0
3,0,1,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,1,1,1
2,0,0,3,6,0,1,1
3,1,0,6,6,1,0,0
3,1,0,3,6,1,1,1
2,1,0,3,6,0,1,1
2,0,0,3,6,1,1,1
3,1,0,5,6,1,1,1
3,1,0,6,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,6,6,1,1,1
3,0,0,5,6,1,1,1
3,1,0,5,6,1,1,1
2,0,0,6,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,3,0,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,1,1,3,6,1,1,1
3,1,0,6,6,1,1,1
3,0,0,3,6,0,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,0,0,3,2,0,1,1
2,1,0,3,6,1,1,1
3,1,0,3,3,0,1,1
3,0,0,5,6,1,1,1
2,0,0,3,6,1,0,1
3,1,0,5,6,1,1,1
2,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,1,4,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,0,1,1
3,1,1,3,6,1,1,1
2,1,0,6,6,1,1,1
3,1,0,5,6,1,1,1
3,1,1,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,1,5,6,1,1,0
3,1,0,3,6,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,1,1,0
3,0,0,4,6,0,0,0
3,0,0,3,6,1,0,0
3,1,0,3,1,1,1,0
3,1,1,3,6,1,1,1
3,1,0,6,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,1,1,6,6,1,0,0
3,1,0,3,3,1,1,0
3,1,0,3,6,1,1,1
3,1,0,6,6,1,1,1
3,1,0,3,6,0,1,1
2,0,0,5,6,1,1,1
3,1,0,4,6,1,0,0
3,1,0,4,6,0,1,1
3,0,1,6,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,0,0,3,3,1,1,1
3,1,0,3,7,0,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,6,6,1,1,1
2,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,0,0,6,6,1,0,0
3,1,0,3,6,1,1,1
2,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,3,7,1,1,1
3,1,0,3,3,1,0,0
3,1,0,3,6,1,1,1
3,1,0,3,6,0,0,0
3,0,0,4,6,1,1,1
3,1,0,3,6,1,0,0
3,1,0,6,6,0,1,1
3,0,0,3,1,1,1,1
3,0,0,4,6,1,1,1
3,1,0,3,3,1,1,1
3,1,0,3,3,0,1,1
3,1,0,3,3,1,1,1
3,1,0,3,3,0,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,3,1,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,1,1,1
2,1,0,3,6,1,1,1
3,1,0,3,3,1,1,1
3,1,0,3,6,0,1,1
3,0,0,3,6,0,1,1
3,1,0,5,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,3,1,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,0,1,1
3,0,0,6,6,1,1,1
3,1,0,6,6,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,5,6,1,0,0
3,1,0,6,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,4,1,0,1,0
3,1,0,3,3,1,1,1
3,0,0,3,6,1,1,1
3,0,0,4,6,1,1,1
3,1,1,3,3,0,1,1
3,1,0,3,1,1,0,0
3,0,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,1,3,3,1,1,1
3,0,0,6,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,6,6,1,0,0
3,0,0,3,6,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,6,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,3,1,1,1
3,0,0,6,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,3,0,1,1
3,0,0,6,6,0,1,1
2,1,0,5,6,1,1,1
3,1,1,6,1,1,1,1
3,1,1,3,6,1,1,1
3,1,1,6,1,1,1,1
3,1,0,3,6,1,1,1
3,1,0,6,6,0,1,0
3,1,0,3,3,1,1,1
3,0,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,3,1,1,1
3,0,0,4,6,0,1,0
3,1,0,3,1,1,1,1
3,1,0,3,3,1,1,1
3,0,0,3,6,1,1,1
3,0,0,3,3,1,1,1
3,1,0,6,6,1,1,1
3,1,0,6,6,1,1,1
3,0,0,6,6,1,0,0
2,1,0,3,6,1,1,1
3,1,0,5,6,0,1,1
3,1,0,3,3,1,1,1
3,1,1,5,6,1,1,1
3,1,1,3,3,0,1,1
3,1,1,6,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,3,3,1,1,1
3,1,0,6,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,6,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,1,6,6,1,1,1
3,0,0,3,6,1,1,1
3,0,0,5,6,1,1,1
3,1,0,6,3,1,1,1
3,0,0,6,6,1,1,1
3,1,0,6,6,1,1,1
3,1,0,6,6,1,1,1
3,1,0,3,3,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,1,3,3,1,1,1
3,1,1,3,3,0,1,1
3,1,1,3,6,1,1,1
3,1,0,3,1,1,1,1
3,0,0,3,6,0,1,1
3,1,1,3,6,0,1,1
2,0,0,5,6,0,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,0,1,1
3,0,0,5,6,1,1,1
3,1,0,3,6,0,1,0
3,1,1,3,1,1,1,1
3,1,1,6,6,0,1,1
3,1,0,6,6,1,1,0
3,1,1,1,3,0,1,1
3,0,0,3,6,1,1,1
3,1,0,5,1,1,1,1
3,1,0,4,1,0,0,0
2,1,0,5,6,1,1,1
3,1,0,5,6,0,1,1
3,1,0,6,6,0,0,0
3,1,0,4,6,1,1,1
3,0,0,3,3,1,1,1
3,1,0,5,1,1,0,0
3,1,0,5,6,1,1,1
3,1,0,5,6,1,1,1
2,1,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,1,3,1,0,1,1
3,0,0,5,6,1,1,1
3,0,0,5,6,1,1,1
3,1,0,1,3,1,1,1
3,1,1,4,6,1,1,1
3,0,0,6,6,1,1,1
3,1,0,4,6,1,1,1
3,1,1,3,3,1,0,0
2,1,0,6,6,1,1,1
3,1,0,3,3,0,1,1
3,1,0,6,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,5,6,1,1,1
3,1,0,3,3,1,1,1
2,1,0,3,6,1,1,1
3,1,0,4,6,1,0,0
3,1,0,3,1,1,1,1
2,0,1,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,1,6,6,1,0,0
2,1,0,3,6,0,1,1
3,1,0,3,6,1,1,0
3,1,0,3,7,0,1,1
3,1,0,3,3,1,1,1
3,1,0,3,6,0,0,0
3,0,0,6,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,3,3,1,1,0
3,0,0,6,6,1,1,0
3,0,0,4,6,0,1,1
3,1,0,3,6,1,1,1
2,1,0,3,6,1,1,1
3,0,0,4,6,1,1,1
3,1,0,3,3,1,0,0
3,1,0,3,6,1,1,1
3,1,1,3,3,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,3,1,1,1
2,0,0,3,6,1,1,1
3,1,0,3,3,1,1,1
3,1,1,3,3,1,1,1
3,0,0,4,6,1,1,1
3,1,0,5,6,1,0,0
3,0,0,6,6,1,1,1
3,1,0,3,6,1,1,1
3,1,1,6,6,0,1,1
3,1,0,3,7,1,1,1
3,0,0,3,6,0,1,1
3,1,0,3,6,0,1,1
3,0,0,3,3,0,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,6,6,1,1,1
3,0,0,3,6,1,1,1
3,1,1,3,6,1,1,1
3,1,1,3,6,1,0,0
3,1,0,3,6,1,1,1
3,0,0,3,6,1,1,0
3,1,0,4,6,1,1,1
3,1,0,3,1,1,1,1
3,1,0,3,6,1,1,1
3,1,1,6,2,0,1,1
3,1,0,3,1,1,1,1
3,1,0,3,6,1,1,1
2,1,0,3,3,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,3,1,1,1
3,1,0,3,6,1,1,1
3,1,1,3,6,0,1,1
3,1,0,3,6,0,1,1
3,1,0,4,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,1,1,1,1
3,0,0,3,1,1,1,1
3,1,0,3,6,1,1,1
2,0,0,3,1,0,1,1
3,0,0,3,6,1,1,1
3,0,0,3,3,1,0,0
3,0,0,3,6,0,1,1
3,1,1,3,6,1,1,1
3,1,0,3,1,0,1,1
3,1,0,5,6,1,1,1
3,0,0,6,6,1,1,1
3,0,0,3,3,1,1,1
3,1,0,3,3,1,1,1
3,1,0,6,6,1,1,1
3,1,0,3,3,0,1,1
3,1,0,5,3,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,1,3,6,1,1,1
3,0,0,5,6,1,1,1
3,1,0,3,2,1,1,1
2,0,1,3,6,1,1,1
3,1,1,4,6,1,1,1
2,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,6,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,6,6,1,1,1
2,0,0,3,6,1,1,1
3,1,0,3,6,1,0,0
3,1,1,5,6,1,1,1
3,0,0,3,6,1,1,1
3,0,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,1,3,6,0,1,1
3,1,0,5,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,1,3,6,1,1,1
3,0,0,3,6,1,1,1
2,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
2,0,1,3,6,0,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,3,1,1,1
3,1,0,3,6,1,1,1
3,1,0,6,6,1,1,1
3,1,0,3,6,1,1,1
2,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,5,6,0,1,1
2,1,0,4,6,1,1,1
3,1,0,3,1,0,1,1
3,1,0,3,6,1,1,1
3,0,0,6,6,1,1,1
2,1,0,3,6,0,1,1
3,1,0,5,6,1,1,1
3,1,0,3,6,1,1,1
3,0,1,3,3,1,1,1
3,1,0,3,1,1,1,1
3,1,0,3,6,1,1,1
3,1,1,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,6,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,3,6,0,1,1
2,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,6,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,1,1,1,1
3,0,0,3,6,1,1,1
2,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,0,1,1
3,1,0,6,6,1,1,1
3,0,0,3,6,1,1,1
3,0,0,4,6,1,1,1
3,1,1,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,5,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,1,1,1,1
2,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,6,6,1,1,1
2,0,0,3,6,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,6,6,1,1,1
3,1,0,3,1,0,1,1
3,0,0,5,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,0,0
3,1,1,3,6,1,1,1
3,0,0,3,6,1,1,1
2,0,0,6,6,1,1,1
3,0,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,0,1,1
2,1,0,3,6,1,1,1
3,1,0,6,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,1,0,1,1
3,0,0,3,6,1,1,1
2,0,0,3,6,1,1,1
3,0,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,1,1,3,6,1,1,1
3,1,0,3,6,0,1,1
3,0,0,3,6,1,1,1
3,1,1,3,6,1,1,1
3,0,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,0,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,1,1,3,6,1,1,1
3,1,0,5,6,1,1,1
3,1,1,3,1,1,1,1
2,1,0,4,1,1,1,1
3,1,1,6,6,1,0,0
3,0,0,3,6,1,1,1
2,1,0,3,6,1,1,1
3,1,0,6,6,1,1,1
2,1,0,3,6,1,1,1
3,1,0,3,6,0,0,0
3,0,0,3,6,1,1,1
3,1,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,4,6,0,1,1
3,0,0,3,3,1,1,1
3,1,0,3,3,0,1,1
3,0,1,3,6,1,1,1
3,0,1,4,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,3,1,1,1
3,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,4,1,1,1,1
3,1,1,6,6,1,1,1
3,1,1,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,3,6,1,0,0
3,1,1,4,6,1,1,1
3,1,0,3,6,0,1,1
3,0,0,3,6,0,1,1
3,1,0,3,6,1,1,1
3,1,0,6,6,1,1,1
2,0,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,5,6,0,1,1
2,1,0,3,6,1,1,1
3,0,0,6,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,1,1,1
3,1,0,3,6,0,1,1
3,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,1,0,4,6,1,1,1
3,1,0,3,6,1,1,1
3,0,0,3,6,1,1,1
